filename,title,short_description,description,theme,domain,indicator,source,publisher,publication_date,version,coverage,resolution,crs,data_type,units,higher_values_indicate,methodology_summary,update_frequency,licence
Domain_IMED_Score.tif,Environmental Domain Score,"IMED provides a national measure of cumulative environmental disadvantage across England using eight environmental indicators. These indicators were grouped and summed to form sub domains, capturing different aspects of environmental stress, for example, climate risk burden, pollution burden etc. The domain score integrates multiple environmental sub-domains into a thematic overall domain score for the whole of England.",Composite measure of cumulative environmental disadvantage across England combining multiple environmental sub-domains into a single continuous score.,Environment,Overall,Environmental Domain,IMED,Natural England,11/03/2026,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (green to red) red indicates greater cumulative environmental disadvantage,"Composite score derived from climate, pollution and nature sub-domains.",Annual,Open Government Licence v3.0
Domain_IMED_Decile.tif,Environmental Domain Decile,National decile of the IMED environmental domain.,"National decile classification of the Environmental Domain Score, enabling comparison of relative environmental disadvantage across England.",Environment,Overall,Environmental Domain Decile,IMED,Natural England,11/03/2026,,England,100 m,EPSG:27700,Decile,Decile,Deciles sorted low to high (green to red) red indicates greater environmental disadvantage,Environmental Domain Score converted into national deciles.,Annual,Open Government Licence v3.0
Domain_IMED_Score_Decile_PopWeighted_100m.tif,Population-weighted Environmental Domain Decile (100 m),Population-weighted national IMED deciles at 100 m.,Population-weighted version of the Environmental Domain Decile designed to reflect where people live rather than land area.,Environment,Overall,Population-weighted Environmental Domain Decile,IMED,Natural England / Derived,,,England,100 m,EPSG:27700,Decile,Decile,Deciles sorted low to high (green to red) red indicates greater environmental disadvantage,Population-weighted derivative of the Environmental Domain Decile.,Derived,Open Government Licence v3.0
Domain_IMED_Score_Decile_PopWeighted_LSOA.tif,Population-weighted Environmental Domain Decile (LSOA),Population-weighted IMED deciles aggregated to LSOAs.,Population-weighted Environmental Domain Deciles aggregated to Lower Layer Super Output Areas for reporting and comparison with administrative geographies.,Environment,Overall,Population-weighted Environmental Domain Decile,IMED,Natural England / Derived,,,England,LSOA,EPSG:27700,Decile,Decile,Deciles sorted low to high (green to red) red indicates greater environmental disadvantage,Population-weighted deciles aggregated to LSOA geography.,Derived,Open Government Licence v3.0
SubDomain_IMED_Climate.tif,Climate Risk Burden,Composite climate-related environmental burden.,"Combines flood risk from rivers and sea, surface water flooding and projected summer heat into a single climate risk burden score.",Environment,Climate,Climate Risk Burden,IMED,Natural England,11/03/2026,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (green to red) red indicates greater climate-related environmental disadvantage,Direct summation of aligned climate indicators.,Annual,Open Government Licence v3.0
SubDomain_IMED_Nature.tif,Nature Deficit Burden,Composite measure of nature-related environmental disadvantage.,Combines quality habitat deficit and lack of access to greenspace into a single nature deficit burden score.,Environment,Nature,Nature Deficit Burden,IMED,Natural England,11/03/2026,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (green to red) red indicates greater nature-related environmental disadvantage,Direct summation of aligned nature indicators.,Annual,Open Government Licence v3.0
SubDomain_IMED_Pollution.tif,Pollution Burden,Composite pollution burden score.,"Combines PM2.5, nitrogen dioxide and environmental noise into a single pollution burden score.",Environment,Pollution,Pollution Burden,IMED,Natural England,11/03/2026,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (green to red) red indicates greater pollution-related environmental disadvantage,Direct summation of aligned pollution indicators.,Annual,Open Government Licence v3.0
Indicator_Climate_FRRS.tif,Flood Risk from Rivers and Sea,Likelihood of flooding from rivers and coastal sources.,"National assessment of flood likelihood from rivers and the sea, accounting for modelled probabilities and flood defences.",Environment,Climate,Flood Risk from Rivers and Sea,IMED,Natural England,15/10/2025,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (white to blue) blue indicates greater flood risk,Environment Agency Flood Map for Planning.,Annual,Open Government Licence v3.0
Indicator_Climate_FRSW.tif,Flood Risk from Surface Water,Relative risk of surface water flooding.,"Identifies areas susceptible to flooding from intense rainfall, overland flow and ponding.",Environment,Climate,Flood Risk from Surface Water,IMED,Natural England,15/10/2025,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (white to blue) blue indicates greater flood risk,Environment Agency Risk of Flooding from Surface Water.,Annual,Open Government Licence v3.0
Indicator_Climate_ProjectedHeat.tif,Projected Increase in Summer Days >28°C,Projected increase in hot summer days.,Estimates changes in the number of summer days exceeding 28°C in the 2030s compared with the 1980s.,Environment,Climate,Projected Summer Heat,IMED,Natural England,09/01/2026,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (green to red) red indicates greater projected heat exposure,Derived from CHESS-SCAPE UKCP18 climate projections.,Annual,Open Government Licence v3.0
Indicator_Nature_AccessToGreenspace.tif,Lack of Access to Greenspace,Areas lacking adequate access to greenspace.,Identifies areas where households do not meet recommended accessible greenspace standards.,Environment,Nature,Access to Greenspace,IMED,Natural England,16/01/2026,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (green to red) red indicates poorer access to greenspace,Accessible Green Infrastructure Scenario 7.,Annual,Open Government Licence v3.0
Indicator_Nature_QualityHabitatDeficit.tif,Quality Habitat Deficit,Areas lacking high-quality habitat.,Identifies locations where priority habitats are absent from the surrounding landscape.,Environment,Nature,Quality Habitat Deficit,IMED,Natural England,18/11/2025,,England,100 m,EPSG:27700,Continuous,Score,Values sorted low to high (green to red) red indicates greater habitat deficit,Derived from Priority Habitat Inventory.,Annual,Open Government Licence v3.0
Indicator_Poll_NO2_2021_2023.tif,Nitrogen Dioxide (NO₂),Average NO₂ concentrations (2021–2023).,Three-year composite of modelled nitrogen dioxide concentrations highlighting long-term air pollution patterns.,Environment,Pollution,Nitrogen Dioxide,IMED,Natural England,11/11/2025,,England,100 m,EPSG:27700,Continuous,µg/m³,Values sorted low to high (green to red) red indicates higher nitrogen dioxide concentrations,DEFRA PCM air quality model.,Annual,Open Government Licence v3.0
